,season,Lg,Team,W,L,W_L_Pct,Finish,SRS,Pace,Rel_Pace,ORtg,Rel_ORtg,DRtg,Rel_DRtg,Playoffs,Coaches,Top_WS,TRtg,WP82G
27,1995-96,NBA,Atlanta Hawks*,46,36,0.561,4th of 8,1.29,89.6,-2.2,109.4,1.8,108.0,0.4,Lost E. Conf. Semis,L. Wilkens (46-36),"M. Blaylock ,9.0",1.4000000000000057,46.002
28,1994-95,NBA,Atlanta Hawks*,42,40,0.512,5th of 7,1.06,89.8,-3.1,106.6,-1.7,105.2,-3.1,Lost E. Conf. 1st Rnd.,L. Wilkens (42-40),"M. Blaylock ,9.4",1.3999999999999915,41.984
29,1993-94,NBA,Atlanta Hawks*,57,25,0.695,1st of 7,4.94,94.2,-0.9,107.2,0.9,101.7,-4.6,Lost E. Conf. Semis,L. Wilkens (57-25),"M. Blaylock ,10.2",5.5,56.989999999999995
30,1992-93,NBA,Atlanta Hawks*,43,39,0.524,4th of 7,-0.67,97.6,0.8,109.3,1.3,110.2,2.2,Lost E. Conf. 1st Rnd.,B. Weiss (43-39),"D. Wilkins ,10.5",-0.9000000000000057,42.968
31,1991-92,NBA,Atlanta Hawks,38,44,0.463,5th of 7,-1.15,97.8,1.2,107.3,-0.9,108.9,0.7,No,B. Weiss (38-44),"K. Willis ,8.8",-1.6000000000000085,37.966
32,1990-91,NBA,Atlanta Hawks*,43,39,0.524,4th of 7,0.72,98.6,0.8,110.9,3.0,110.1,2.2,Lost E. Conf. 1st Rnd.,B. Weiss (43-39),"D. Wilkins ,11.4",0.8000000000000114,42.968
33,1989-90,NBA,Atlanta Hawks,41,41,0.5,6th of 7,0.64,95.8,-2.5,113.0,4.9,111.9,3.8,No,M. Fratello (41-41),"D. Wilkins ,11.1",1.0999999999999943,41.0
34,1988-89,NBA,Atlanta Hawks*,52,30,0.634,3rd of 6,5.26,98.3,-2.3,112.2,4.4,107.2,-0.6,Lost E. Conf. 1st Rnd.,M. Fratello (52-30),"M. Malone ,10.7",5.0,51.988
35,1987-88,NBA,Atlanta Hawks*,50,32,0.61,3rd of 6,4.02,96.4,-3.2,111.3,3.3,107.6,-0.4,Lost E. Conf. Semis,M. Fratello (50-32),"D. Wilkins ,9.8",3.700000000000003,50.019999999999996
36,1986-87,NBA,Atlanta Hawks*,57,25,0.695,1st of 6,7.18,97.4,-3.4,112.6,4.3,105.2,-3.1,Lost E. Conf. Semis,M. Fratello (57-25),"D. Wilkins ,12.2",7.3999999999999915,56.989999999999995
37,1985-86,NBA,Atlanta Hawks*,50,32,0.61,2nd of 6,2.59,100.0,-2.1,107.9,0.7,105.6,-1.6,Lost E. Conf. Semis,M. Fratello (50-32),"D. Wilkins ,10.8",2.3000000000000114,50.019999999999996
38,1984-85,NBA,Atlanta Hawks,34,48,0.415,5th of 6,-1.14,99.8,-2.3,105.9,-2.0,107.3,-0.6,No,M. Fratello (34-48),"D. Wilkins ,7.6",-1.3999999999999915,34.03
39,1983-84,NBA,Atlanta Hawks*,40,42,0.488,3rd of 6,-1.08,95.3,-6.1,105.5,-2.1,106.9,-0.7,Lost E. Conf. 1st Rnd.,M. Fratello (40-42),"D. Roundfield ,7.1",-1.4000000000000057,40.016
40,1982-83,NBA,Atlanta Hawks*,43,39,0.524,2nd of 6,-0.72,98.9,-4.2,102.2,-2.5,103.2,-1.5,Lost E. Conf. 1st Rnd.,K. Loughery (43-39),"D. Roundfield ,7.4",-1.0,42.968
41,1981-82,NBA,Atlanta Hawks*,42,40,0.512,2nd of 6,0.81,95.1,-5.8,105.1,-1.8,104.6,-2.3,Lost E. Conf. 1st Rnd.,K. Loughery (42-40),"D. Roundfield ,6.5",0.5,41.984
42,1980-81,NBA,Atlanta Hawks,31,51,0.378,4th of 6,-2.37,99.4,-2.4,104.3,-1.2,107.3,1.8,No,"H. Brown (31-48), M. Fratello (0-3)","D. Roundfield ,7.0",-3.0,30.996
43,1979-80,NBA,Atlanta Hawks*,50,32,0.61,1st of 6,2.83,98.9,-4.2,105.2,-0.1,102.3,-3.0,Lost E. Conf. Semis,H. Brown (50-32),"T. Rollins ,9.2",2.9000000000000057,50.019999999999996
44,1978-79,NBA,Atlanta Hawks*,46,36,0.561,3rd of 6,1.92,102.5,-3.3,105.6,1.8,103.6,-0.2,Lost E. Conf. Semis,H. Brown (46-36),"J. Drew ,8.9",2.0,46.002
45,1977-78,NBA,Atlanta Hawks*,41,41,0.5,4th of 6,-0.13,103.3,-3.4,99.7,-1.2,99.8,-1.1,Lost E. Conf. 1st Rnd.,H. Brown (41-41),"J. Drew ,8.9",-0.09999999999999432,41.0
46,1976-77,NBA,Atlanta Hawks,31,51,0.378,6th of 6,-3.87,104.6,-1.9,97.8,-1.7,101.6,2.1,No,H. Brown (31-51),"J. Drew ,7.9",-3.799999999999997,30.996
47,1975-76,NBA,Atlanta Hawks,29,53,0.354,5th of 5,-2.66,103.6,-1.9,98.4,0.1,101.2,2.9,No,"C. Fitzsimmons (28-46), G. Tormohlen (1-7)","J. Drew ,10.6",-2.799999999999997,29.028
48,1974-75,NBA,Atlanta Hawks,31,51,0.378,4th of 5,-1.32,106.3,1.8,98.3,0.6,99.5,1.8,No,C. Fitzsimmons (31-51),"J. Drew ,7.1",-1.2000000000000028,30.996
49,1973-74,NBA,Atlanta Hawks,35,47,0.427,2nd of 4,-1.47,110.8,3.0,97.7,0.0,99.0,1.3,No,C. Fitzsimmons (35-47),"L. Hudson ,8.8",-1.2999999999999972,35.013999999999996
50,1972-73,NBA,Atlanta Hawks*,46,36,0.561,2nd of 4,-0.15,113.8,3.1,98.0,1.2,98.0,1.2,Lost E. Conf. Semis,C. Fitzsimmons (46-36),"L. Hudson ,9.3",0.0,46.002
